fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,classification
Mike Lullo,"5' 8""",145 lbs.,,Orthodox,"Jul 24, 1979",2.48,36%,4.84,40%,1.18,11%,0%,0.6,striker
Travis Lutter,"5' 11""",185 lbs.,"75""",Orthodox,"May 12, 1973",0.41,32%,2.42,42%,1.95,24%,30%,0.7,grappler
Tucker Lutz,"5' 8""",155 lbs.,"72""",Orthodox,"Jul 12, 1994",4.33,49%,2.80,47%,2.00,57%,81%,0.5,striker
Vicente Luque,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",5.72,53%,5.82,52%,0.68,50%,64%,0.8,striker
Chris Lytle,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.70,55%,55%,2.4,submission specialist
Dong Hyun Ma,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988",2.84,41%,4.10,54%,1.27,53%,33%,0.0,striker
William Macario,"5' 11""",170 lbs.,"75""",Orthodox,"Jul 01, 1991",4.92,54%,3.96,65%,1.85,45%,78%,0.0,striker
Jason MacDonald,"6' 3""",185 lbs.,"80""",Orthodox,"Jun 03, 1975",1.55,52%,2.70,46%,1.43,16%,35%,2.0,submission specialist
Rob MacDonald,"6' 3""",205 lbs.,"78""",Orthodox,"Sep 05, 1978",1.80,50%,2.04,46%,7.19,80%,80%,5.4,submission specialist
Rory MacDonald,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",3.75,42%,2.80,62%,1.77,47%,88%,0.4,striker
Veronica Macedo,"5' 4""",125 lbs.,"64""",Southpaw,"Oct 30, 1995",3.13,39%,5.06,43%,0.57,18%,46%,0.6,striker
Clayton MacFarlane,,170 lbs.,,,,1.33,52%,1.82,55%,1.05,33%,37%,0.0,striker
War Machine,"5' 11""",170 lbs.,,Orthodox,"Nov 30, 1981",2.32,60%,3.17,43%,1.16,50%,40%,0.0,striker
Lyoto Machida,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",2.59,53%,1.57,61%,1.21,65%,75%,0.4,striker
Pauline Macias,"5' 4""",115 lbs.,"64""",Southpaw,"Jun 27, 1988",0.80,29%,4.60,42%,2.00,18%,0%,0.0,grappler
Don Madge,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990",2.08,52%,0.74,67%,2.22,25%,80%,0.7,grappler
Mark Madsen,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 23, 1984",2.28,42%,2.53,46%,8.33,64%,0%,0.0,grappler
Jon Madsen,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980",2.46,41%,1.18,81%,1.32,71%,70%,0.0,striker
Yoshiro Maeda,"5' 7""",139 lbs.,"68""",Southpaw,"Oct 31, 1981",2.36,33%,2.55,63%,2.93,51%,50%,0.7,grappler
Vinny Magalhaes,"6' 3""",205 lbs.,"75""",Orthodox,"Jul 02, 1984",2.14,24%,3.97,68%,1.55,44%,66%,0.8,striker
Caio Magalhaes,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987",2.27,40%,2.78,56%,1.05,15%,58%,1.6,submission specialist
Reza Madadi,"5' 11""",155 lbs.,"73""",Orthodox,"Jun 20, 1978",2.51,46%,3.31,66%,3.17,33%,89%,0.5,grappler
Angela Magana,"5' 1""",115 lbs.,"65""",Orthodox,"Aug 02, 1983",1.53,28%,4.92,42%,0.40,25%,28%,0.4,striker
Neil Magny,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",3.67,47%,2.05,56%,2.46,45%,57%,0.3,striker
Rashid Magomedov,"5' 9""",155 lbs.,"70""",Orthodox,"Nov 29, 1984",4.40,49%,3.05,54%,0.67,57%,89%,0.2,striker
Ruslan Magomedov,"6' 3""",242 lbs.,"78""",Orthodox,"Nov 26, 1986",4.02,47%,1.47,66%,0.33,100%,88%,0.0,striker
John Maguire,"5' 9""",155 lbs.,"69""",Southpaw,"May 19, 1983",1.41,41%,2.44,65%,2.80,46%,77%,1.1,submission specialist
Zabit Magomedsharipov,"6' 1""",145 lbs.,"73""",Orthodox,"Mar 01, 1991",4.89,48%,3.00,64%,5.22,56%,77%,0.8,grappler
Lolohea Mahe,,,,,,1.71,29%,6.92,40%,2.44,40%,0%,0.0,grappler
Leonardo Mafra,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 25, 1989",4.55,48%,4.38,43%,2.12,83%,69%,0.4,striker
Levan Makashvili,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 07, 1989",2.87,54%,2.07,61%,3.67,42%,85%,0.0,grappler
Jennifer Maia,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988",3.34,39%,3.52,52%,0.34,50%,56%,0.2,striker
Klayton Mai,"5' 9""",125 lbs.,,,"Nov 30, 1986",1.53,42%,1.02,63%,3.83,100%,0%,7.7,submission specialist
Demian Maia,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",1.82,43%,2.03,63%,2.55,26%,61%,1.0,submission specialist
Aliev Makhmud,"5' 6""",195 lbs.,,Southpaw,"Feb 13, 1970",1.12,30%,2.24,36%,2.10,50%,0%,0.0,grappler
Islam Makhachev,"5' 10""",155 lbs.,"70""",Southpaw,"Oct 27, 1991",2.00,56%,0.77,70%,3.46,68%,93%,1.0,submission specialist
Zach Makovsky,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983",1.94,43%,2.24,62%,3.71,30%,56%,0.3,grappler
Fabio Maldonado,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",5.29,58%,4.31,53%,0.44,57%,61%,0.6,striker
Nazareno Malegarie,"5' 8""",155 lbs.,,,"May 16, 1986",3.87,34%,3.27,69%,1.00,33%,0%,0.0,striker
Nate Maness,"5' 10""",135 lbs.,"72""",Orthodox,"Jun 27, 1991",2.40,45%,4.63,45%,1.33,66%,88%,0.7,striker
Michael Mangan,,155 lbs.,,,,1.94,33%,4.52,46%,19.35,50%,100%,0.0,grappler
Mike Malott,"6' 0""",145 lbs.,,,,4.53,36%,4.53,51%,2.00,33%,0%,0.0,striker
Troy Mandaloniz,"5' 9""",170 lbs.,,Orthodox,"Feb 01, 1980",3.52,56%,4.71,63%,3.10,66%,57%,0.0,striker
Jon Manley,"6' 1""",170 lbs.,,Orthodox,"Jul 07, 1986",1.13,20%,4.33,45%,1.00,7%,20%,0.0,striker
Melvin Manhoef,"5' 9""",185 lbs.,,Orthodox,"May 11, 1976",3.52,48%,2.64,51%,0.33,25%,78%,0.0,striker
Chris Manuel,"5' 9""",135 lbs.,,Orthodox,"Jul 21, 1987",2.53,40%,2.67,66%,1.00,20%,100%,0.0,striker
Steve Mann,"6' 1""",170 lbs.,,,,3.18,70%,0.66,57%,1.64,100%,60%,0.0,striker
Cristiano Marcello,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 03, 1977",2.56,33%,3.61,58%,0.44,11%,20%,0.9,striker
Jimi Manuwa,"6' 1""",205 lbs.,"79""",Orthodox,"Feb 18, 1980",3.43,54%,3.97,49%,0.53,18%,70%,0.4,striker
Jose Maria,"5' 5""",125 lbs.,,Orthodox,"Jan 04, 1982",3.20,53%,3.98,52%,2.32,27%,33%,2.3,submission specialist
Enrique Marin,"5' 10""",170 lbs.,,,"Sep 02, 1986",1.43,33%,3.00,50%,2.50,38%,60%,1.0,submission specialist
Ronny Markes,"6' 1""",185 lbs.,"75""",Orthodox,"Apr 21, 1988",2.17,53%,2.43,45%,3.13,40%,100%,0.5,grappler
Christina Marks,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985",5.00,58%,3.00,64%,7.50,100%,0%,0.0,grappler
Randa Markos,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985",2.85,41%,3.20,59%,1.23,28%,57%,0.2,striker
Nate Marquardt,"6' 0""",185 lbs.,"74""",Orthodox,"Apr 20, 1979",2.71,49%,2.32,55%,1.87,51%,70%,0.8,striker
Danilo Marques,"6' 6""",205 lbs.,"77""",Orthodox,"Dec 26, 1985",1.81,88%,1.41,50%,4.83,34%,0%,1.2,submission specialist
Carmelo Marrero,"6' 0""",205 lbs.,"73""",Orthodox,"Jan 26, 1981",0.84,34%,2.04,54%,3.21,36%,36%,0.9,grappler
John Marsh,"6' 0""",265 lbs.,,Orthodox,"Sep 15, 1970",0.83,42%,2.23,40%,0.43,100%,54%,0.4,striker
Eliot Marshall,"6' 2""",205 lbs.,"77""",Orthodox,"Jul 07, 1980",1.93,27%,2.39,67%,0.47,33%,79%,0.9,striker
Terry Martin,"5' 8""",185 lbs.,"71""",Orthodox,"Oct 10, 1980",2.82,43%,3.13,54%,3.10,42%,92%,0.0,grappler
Mallory Martin,"5' 4""",115 lbs.,"63""",Orthodox,"Jan 29, 1994",3.99,59%,5.53,58%,3.37,63%,25%,0.5,striker
Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",2.68,37%,2.59,58%,0.71,27%,68%,1.0,submission specialist
Danny Martinez,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 14, 1985",2.73,28%,3.77,63%,3.00,45%,36%,0.0,grappler
Jonathan Martinez,"5' 8""",135 lbs.,"70""",Southpaw,"Apr 20, 1994",4.27,46%,3.81,58%,0.48,37%,63%,0.0,striker
Andrew Martinez,"5' 9""",215 lbs.,,,,3.40,31%,2.30,47%,1.50,50%,0%,0.0,striker
Roque Martinez,"5' 10""",250 lbs.,"72""",Orthodox,"Mar 04, 1986",2.67,51%,4.68,59%,0.62,50%,16%,0.0,striker
Poppies Martinez,"5' 9""",145 lbs.,,,"Aug 19, 1983",2.88,50%,2.16,51%,1.54,33%,50%,9.2,submission specialist
Wagner da Conceicao Martins,"6' 7""",390 lbs.,,Orthodox,"May 19, 1978",1.91,37%,5.43,42%,2.20,100%,100%,0.0,grappler
Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982",1.80,38%,2.14,65%,0.83,80%,81%,0.4,striker
Jameel Massouh,"5' 10""",145 lbs.,"72""",Orthodox,"Sep 12, 1984",1.91,54%,2.62,55%,0.67,15%,50%,0.7,striker
Mike Massenzio,"6' 2""",185 lbs.,"73""",Southpaw,"Nov 01, 1982",2.08,45%,3.59,54%,2.74,24%,50%,1.4,submission specialist
Bristol Marunde,"6' 1""",170 lbs.,"75""",Orthodox,"Apr 20, 1982",1.42,21%,4.40,47%,1.60,33%,14%,0.0,grappler
Jorge Masvidal,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",4.20,47%,3.00,65%,1.57,59%,77%,0.4,striker
Tiffany Masters,"5' 3""",115 lbs.,"65""",Orthodox,"Jul 31, 1994",3.53,62%,2.58,50%,3.06,60%,0%,0.0,striker
Naoki Matsushita,"5' 6""",155 lbs.,,Orthodox,,3.30,32%,2.20,63%,1.50,100%,0%,0.0,striker
Daijiro Matsui,"5' 9""",200 lbs.,,Orthodox,"Dec 05, 1972",0.84,45%,1.69,55%,1.83,30%,43%,0.4,grappler
Jake Matthews,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",3.03,44%,2.16,61%,1.93,41%,66%,0.6,striker
Nick Maximov,"6' 0""",220 lbs.,"76""",Southpaw,"Dec 23, 1997",2.47,58%,0.33,58%,2.00,40%,0%,0.0,striker
Vladimir Matyushenko,"6' 0""",205 lbs.,"74""",Orthodox,"Jan 04, 1971",1.90,44%,1.62,59%,3.25,46%,70%,0.1,grappler
Jack May,"6' 8""",255 lbs.,,Switch,"Apr 14, 1981",1.52,38%,3.29,33%,0.91,33%,20%,0.0,striker
Don'Tale Mayes,"6' 6""",260 lbs.,"81""",Orthodox,"Jan 16, 1992",4.13,45%,4.46,43%,0.23,20%,59%,0.0,striker
Brooke Mayo,"5' 7""",125 lbs.,,,,1.92,34%,3.20,63%,3.20,60%,0%,2.1,submission specialist
Gina Mazany,"5' 6""",125 lbs.,"68""",Southpaw,"Aug 19, 1988",3.45,47%,3.07,51%,4.41,63%,33%,0.3,grappler
Gray Maynard,"5' 9""",155 lbs.,"70""",Orthodox,"May 09, 1979",1.92,32%,2.64,66%,2.91,47%,81%,0.7,grappler
Sabina Mazo,"5' 7""",135 lbs.,"70""",Orthodox,"Mar 25, 1997",6.56,44%,3.91,60%,0.81,80%,66%,0.2,striker
Michael McBride,"6' 1""",155 lbs.,,Orthodox,"Mar 09, 1986",4.08,48%,5.85,40%,1.85,42%,30%,1.2,submission specialist
Ian McCall,"5' 5""",125 lbs.,"64""",Orthodox,"May 07, 1984",3.59,39%,3.25,67%,2.08,30%,88%,0.0,striker
Molly McCann,"5' 4""",125 lbs.,"62""",Orthodox,"May 04, 1990",5.15,50%,4.28,65%,1.64,29%,28%,0.7,striker
Charles McCarthy,"5' 10""",185 lbs.,"71""",Orthodox,"Aug 06, 1980",0.18,12%,4.03,56%,2.67,60%,0%,2.7,submission specialist
Sean McCorkle,"6' 7""",265 lbs.,"81""",Orthodox,"Jul 17, 1976",0.85,44%,2.48,52%,2.12,40%,33%,4.2,submission specialist
Kris McCray,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 24, 1981",2.69,45%,2.57,54%,2.88,55%,38%,0.0,grappler
Tamdan McCrory,"6' 4""",185 lbs.,"76""",Switch,"Nov 05, 1986",2.07,49%,1.60,46%,2.28,50%,33%,2.5,submission specialist
Justin McCully,"6' 1""",225 lbs.,"73""",Orthodox,"Feb 18, 1976",1.58,37%,2.02,46%,1.28,44%,43%,0.0,striker
Michael McDonald,"5' 9""",135 lbs.,"70""",Orthodox,"Jan 15, 1991",2.69,42%,2.76,57%,1.09,66%,52%,1.4,submission specialist
Rob McCullough,"5' 9""",155 lbs.,"69""",Orthodox,"May 26, 1977",2.47,36%,2.84,59%,0.46,100%,68%,0.0,striker
Robert McDaniel,"6' 3""",185 lbs.,"75""",Southpaw,"May 03, 1983",1.64,44%,1.98,56%,0.93,50%,50%,1.4,submission specialist
Josh McDonald,,185 lbs.,,,,0.80,57%,3.40,33%,9.00,50%,0%,0.0,grappler
Drew McFedries,"6' 0""",185 lbs.,"72""",Southpaw,"Jul 27, 1978",5.13,51%,4.56,52%,1.42,100%,56%,0.7,striker
Liam McGeary,"6' 6""",205 lbs.,,,"Oct 04, 1982",1.28,48%,1.92,50%,0.51,100%,0%,2.5,submission specialist
Gan McGee,"6' 10""",265 lbs.,,Orthodox,"Nov 20, 1976",2.20,29%,2.31,59%,0.65,25%,83%,0.0,striker
Court McGee,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984",4.90,36%,3.94,61%,1.60,21%,63%,0.4,striker
Conor McGregor,"5' 9""",155 lbs.,"74""",Southpaw,"Jul 14, 1988",5.32,49%,4.54,54%,0.70,55%,67%,0.0,striker
Greg McIntyre,"5' 10""",155 lbs.,,Orthodox,"Apr 21, 1980",0.79,30%,1.36,41%,5.09,50%,0%,0.0,grappler
AJ McKee,"5' 10""",145 lbs.,,,,2.75,32%,0.92,80%,11.01,100%,100%,11.0,submission specialist
Antonio McKee,"5' 8""",155 lbs.,,Southpaw,"Mar 12, 1970",1.37,45%,0.74,74%,1.47,33%,57%,0.0,grappler
Terrance McKinney,"5' 11""",145 lbs.,"74""",Switch,"Sep 15, 1994",1.17,50%,0.59,66%,4.40,33%,0%,0.0,grappler
Cory McKenna,"5' 3""",115 lbs.,"58""",Orthodox,"Nov 07, 1999",3.47,44%,3.03,45%,0.50,50%,71%,0.0,striker
Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,"Dec 16, 1987",1.74,34%,2.50,67%,2.50,25%,14%,2.5,submission specialist
Garreth McLellan,"6' 1""",185 lbs.,"72""",Southpaw,"Sep 01, 1982",3.56,54%,2.94,45%,1.15,22%,34%,0.9,striker
Sara McMann,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 24, 1980",2.32,45%,1.94,48%,4.41,65%,50%,0.5,grappler
James McSweeney,"6' 4""",230 lbs.,"77""",Switch,"Oct 24, 1980",3.94,55%,4.33,42%,0.52,33%,100%,1.1,submission specialist
Tim Means,"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",5.16,48%,3.58,61%,0.92,41%,64%,0.2,striker
Kaline Medeiros,"5' 3""",115 lbs.,,,,2.06,70%,0.29,83%,4.41,100%,0%,4.4,submission specialist
Yancy Medeiros,"5' 10""",155 lbs.,"75""",Orthodox,"Sep 07, 1987",4.05,35%,5.38,46%,0.12,25%,76%,0.5,striker
Emil Meek,"5' 11""",170 lbs.,"74""",Switch,"Aug 20, 1988",2.52,39%,2.53,38%,0.25,33%,47%,1.0,submission specialist
Sanford Alton Meeks,"6' 5""",265 lbs.,"75""",Orthodox,"Apr 05, 1994",0.71,42%,4.47,38%,7.06,25%,0%,0.0,grappler
Gerald Meerschaert,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987",3.30,42%,3.61,51%,2.33,43%,46%,1.7,submission specialist
Derrick Mehmen,"6' 4""",205 lbs.,,,"May 30, 1985",1.93,14%,4.53,48%,1.00,16%,0%,0.0,striker
Jordan Mein,"6' 0""",170 lbs.,"73""",Orthodox,"Oct 10, 1989",3.35,44%,2.55,69%,1.56,58%,66%,0.2,striker
Brian Melancon,"5' 8""",170 lbs.,,Orthodox,"May 28, 1982",4.18,49%,3.64,64%,2.02,100%,66%,0.0,striker
Gilbert Melendez,"5' 9""",145 lbs.,"73""",Orthodox,"Apr 12, 1982",3.44,33%,2.53,63%,1.64,41%,71%,0.2,striker
Antonio Mendes,"6' 3""",205 lbs.,"77""",Southpaw,"Apr 19, 1981",1.34,47%,6.85,22%,2.51,50%,100%,0.0,grappler
Augusto Mendes,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983",2.42,34%,3.91,56%,1.75,33%,80%,0.0,striker
Chad Mendes,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985",2.78,49%,2.35,67%,4.13,55%,100%,0.3,grappler
Ivan Menjivar,"5' 6""",145 lbs.,"64""",Orthodox,"May 30, 1982",2.78,37%,2.76,65%,0.56,28%,38%,1.0,submission specialist
Dave Menne,"5' 10""",170 lbs.,,Orthodox,"Jul 29, 1974",1.84,44%,1.99,42%,0.46,50%,57%,2.5,submission specialist
Adam Meredith,"6' 2""",170 lbs.,,,,2.63,50%,2.11,55%,7.89,100%,100%,7.9,submission specialist
Jonathan Meunier,"6' 3""",170 lbs.,,Switch,"Aug 04, 1987",3.47,50%,1.43,69%,0.58,33%,58%,0.0,striker
Jeremiah Metcalf,"6' 1""",185 lbs.,,Orthodox,,1.74,59%,0.27,60%,4.02,66%,100%,2.0,submission specialist
Yaotzin Meza,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 04, 1981",1.43,41%,1.62,64%,1.06,20%,18%,1.4,submission specialist
Guy Mezger,"6' 1""",200 lbs.,,Orthodox,"Jan 01, 1968",2.30,32%,1.36,72%,0.39,50%,88%,0.0,striker
David Michaud,"5' 9""",155 lbs.,,Orthodox,"Nov 10, 1988",3.25,43%,4.45,54%,2.53,58%,77%,0.7,striker
Zachary Micklewright,"6' 0""",155 lbs.,"74""",Southpaw,"Aug 21, 1976",5.56,53%,4.72,54%,0.70,12%,100%,0.0,striker
Chris Mierzwiak,"6' 1""",185 lbs.,,,"Feb 14, 1988",1.60,61%,1.73,48%,2.00,28%,0%,1.0,submission specialist
Phillip Miller,"5' 11""",185 lbs.,,Orthodox,"Feb 20, 1979",1.61,54%,1.93,50%,3.62,25%,100%,0.6,grappler
Jason Miller,"6' 1""",185 lbs.,,Orthodox,"Dec 24, 1980",1.83,43%,2.30,49%,1.31,28%,43%,1.3,submission specialist
Dan Miller,"6' 1""",185 lbs.,"74""",Orthodox,"Jun 30, 1981",2.03,36%,3.06,49%,1.67,54%,47%,1.8,submission specialist
Curtis Millender,"6' 2""",170 lbs.,"76""",Orthodox,"Dec 01, 1987",3.86,46%,2.95,61%,0.43,100%,57%,0.0,striker
Pat Miletich,"5' 10""",170 lbs.,,Orthodox,"Mar 09, 1968",1.79,45%,1.66,63%,1.96,100%,54%,1.0,submission specialist
Cole Miller,"6' 1""",145 lbs.,"73""",Orthodox,"Apr 26, 1984",3.00,33%,3.88,59%,0.60,36%,38%,1.8,submission specialist
Jim Miller,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.73,40%,2.99,59%,1.69,43%,46%,1.9,submission specialist
Micah Miller,"6' 0""",145 lbs.,,Orthodox,"Feb 14, 1987",1.33,33%,2.15,54%,0.98,37%,21%,2.0,submission specialist
Henry Miller,"5' 7""",270 lbs.,,Southpaw,"Jul 16, 1969",1.25,36%,2.16,54%,0.55,25%,60%,0.0,striker
Che Mills,"6' 1""",170 lbs.,"76""",Orthodox,"Sep 29, 1982",2.08,52%,2.87,43%,1.18,66%,58%,0.0,striker
Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982",3.23,38%,3.70,47%,1.85,20%,50%,0.0,striker
Stipe Miocic,"6' 4""",240 lbs.,"80""",Orthodox,"Aug 19, 1982",4.90,52%,3.75,55%,1.92,34%,70%,0.0,striker
Darrick Minner,"5' 7""",145 lbs.,"69""",Orthodox,"Apr 28, 1990",3.24,70%,1.40,43%,3.00,62%,60%,3.6,submission specialist
Ikuhisa Minowa,"5' 9""",181 lbs.,,Orthodox,"Jan 12, 1976",0.88,40%,1.66,49%,1.82,41%,5%,1.9,submission specialist
Mario Miranda,"6' 3""",185 lbs.,"74""",Orthodox,"Jul 12, 1979",1.96,54%,2.46,36%,1.02,60%,54%,0.0,striker
Frank Mir,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979",2.18,47%,3.84,38%,2.02,40%,54%,2.0,submission specialist
Vitor Miranda,"6' 1""",185 lbs.,"77""",Orthodox,"Mar 10, 1979",2.98,45%,2.95,58%,0.95,55%,50%,0.2,striker
Kazuo Misaki,"5' 8""",183 lbs.,,Orthodox,"Apr 25, 1976",2.85,40%,2.74,63%,0.72,38%,51%,0.6,striker
Dokonjonosuke Mishima,"5' 7""",155 lbs.,,Southpaw,"Apr 19, 1972",1.06,41%,1.22,52%,2.47,40%,25%,1.4,submission specialist
David Mitchell,"6' 0""",170 lbs.,"75""",Orthodox,"Oct 24, 1979",1.74,32%,2.06,55%,0.66,50%,29%,2.0,submission specialist
Bryce Mitchell,"5' 10""",145 lbs.,"70""",Southpaw,"Oct 04, 1994",2.29,61%,1.46,60%,3.26,46%,33%,2.3,submission specialist
Roman Mitichyan,"5' 10""",170 lbs.,,Orthodox,"Sep 04, 1978",0.26,16%,2.70,43%,1.93,100%,25%,1.9,submission specialist
Eiji Mitsuoka,"5' 7""",145 lbs.,,Southpaw,"Jan 01, 1976",1.49,49%,2.26,45%,2.30,36%,20%,1.6,submission specialist
Hiromitsu Miura,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1981",2.12,34%,2.12,58%,2.23,50%,69%,0.6,grappler
Tomoya Miyashita,"5' 7""",139 lbs.,,Southpaw,,1.67,65%,0.93,33%,4.00,80%,0%,2.0,submission specialist
Kazuyuki Miyata,"5' 8""",139 lbs.,,Orthodox,,2.04,52%,1.82,63%,4.31,46%,68%,0.0,grappler
Takeya Mizugaki,"5' 7""",135 lbs.,"69""",Orthodox,"Dec 16, 1983",3.37,37%,3.27,57%,1.46,57%,70%,0.1,striker
Tatsuya Mizuno,"6' 1""",205 lbs.,,Southpaw,"Jun 02, 1981",2.25,37%,3.52,53%,1.19,25%,40%,3.6,submission specialist
Bobby Moffett,"5' 10""",145 lbs.,"73""",Orthodox,"Jun 01, 1990",3.41,39%,3.15,61%,2.74,66%,66%,1.4,submission specialist
Roxanne Modafferi,"5' 7""",125 lbs.,"69""",Orthodox,"Sep 24, 1982",3.13,30%,5.03,53%,1.42,23%,30%,0.1,striker
Thiago Moises,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995",2.85,37%,3.88,60%,1.06,33%,63%,1.2,submission specialist
Nate Mohr,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 03, 1983",3.79,41%,2.50,74%,0.45,50%,71%,0.0,striker
Renato Moicano,"5' 11""",155 lbs.,"72""",Orthodox,"May 21, 1989",5.40,46%,3.74,65%,1.28,53%,78%,0.6,striker
Ashkan Mokhtarian,"5' 6""",125 lbs.,"67""",Southpaw,"Sep 15, 1985",1.95,43%,3.66,43%,0.54,16%,33%,0.0,striker
Jeff Monson,"5' 9""",247 lbs.,"74""",Orthodox,"Jan 18, 1971",0.97,30%,2.87,59%,1.06,12%,66%,0.7,grappler
Darrell Montague,"5' 6""",125 lbs.,"67""",Southpaw,"Nov 03, 1987",1.92,25%,5.38,52%,0.72,25%,33%,1.4,submission specialist
Nicco Montano,"5' 5""",135 lbs.,"65""",Southpaw,"Dec 16, 1988",5.60,41%,4.43,64%,2.25,54%,69%,0.4,striker
Erick Montano,"6' 0""",170 lbs.,"73""",Orthodox,"Nov 19, 1985",2.79,44%,2.06,64%,2.29,36%,66%,0.0,striker
Todd Moore,"5' 9""",170 lbs.,"71""",Southpaw,"Dec 30, 1983",1.83,26%,2.30,57%,0.78,14%,54%,0.0,striker
Nate Moore,"6' 0""",170 lbs.,,,,2.21,25%,2.87,42%,1.23,16%,25%,0.0,striker
Sergio Moraes,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",2.42,42%,3.73,59%,1.20,38%,75%,0.4,striker
Marlon Moraes,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",3.38,39%,4.11,56%,1.00,41%,66%,0.4,striker
John Moraga,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",2.57,43%,2.55,56%,0.62,23%,44%,1.1,submission specialist
Joseph Morales,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",1.58,37%,1.72,60%,0.53,50%,23%,2.6,submission specialist
Albert Morales,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991",3.81,35%,3.96,56%,0.91,35%,70%,0.2,striker
Omar Morales,"5' 11""",145 lbs.,"73""",Orthodox,"Oct 17, 1985",3.39,34%,2.99,65%,0.29,100%,100%,0.0,striker
Christian Morecraft,"6' 6""",260 lbs.,"81""",Orthodox,"Sep 08, 1986",2.82,34%,2.46,46%,3.26,66%,50%,2.2,submission specialist
Sarah Moras,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 30, 1988",2.28,34%,3.58,50%,0.67,21%,33%,0.8,striker
Gisele Moreira,"5' 6""",135 lbs.,,Orthodox,"Jan 14, 1981",5.93,42%,6.33,48%,4.00,57%,0%,0.0,striker
Jesse Moreng,"5' 7""",145 lbs.,,Orthodox,"Nov 09, 1979",1.26,40%,2.08,48%,5.56,100%,100%,0.0,grappler
Vinicius Moreira,"6' 4""",205 lbs.,"76""",Orthodox,"Feb 28, 1989",3.15,59%,5.07,43%,1.97,18%,0%,1.3,submission specialist
Brandon Moreno,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993",3.41,38%,3.41,59%,2.01,45%,67%,0.6,striker
Dan Moret,"6' 0""",155 lbs.,"73""",Southpaw,"Nov 21, 1986",2.67,43%,3.56,43%,1.25,27%,45%,0.4,striker
Sammy Morgan,"5' 10""",170 lbs.,,Orthodox,"Sep 28, 1981",1.05,22%,3.74,40%,1.43,20%,0%,0.5,grappler
Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",4.96,42%,3.69,56%,0.44,28%,47%,0.4,striker
Maryna Moroz,"5' 7""",125 lbs.,"67""",Orthodox,"Sep 08, 1991",4.09,31%,4.15,53%,0.56,18%,47%,0.4,striker
